loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),state(N)
2018-07-20 14:47:16.151 +0200,1,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.13168,-6.419139862060547,6.374137878417969,-43.88771057128906,45.88368988037109,42.55783843994141,15,65383.82595212501,0.10308837890625,-0.1580352783203125,-0.9894256591796875,65383.82595212501,-0.364526832107321,0.2423050486197694,0.09547246086657764,65383.810876125,-2.317236145798116,0.09463602365688406,0.1583804809963834,-0.3765117526054382,0.1669242382049561,0.03585527464747429,0.01278223097324371,-0.02718684077262878,0.08207958936691284,XArbitraryCorrectedZVertical,-0.07485868036746979,0.05351189151406288,0.9108566045761108,-0.4023303985595703,0.09331212192773819,-0.1577191650867462,-0.9830653071403503,-6.944530487060547,5.851524353027344,-44.48008728027344,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-25.49744,0
2018-07-20 14:47:16.156 +0200,2,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.13168,-6.419139862060547,6.374137878417969,-43.88771057128906,45.88368988037109,42.55783843994141,15,65383.860650125,0.0759429931640625,-0.120208740234375,-1.045578002929688,65383.860650125,0.1191303860941875,0.2772984527111926,0.05545740022370105,65383.810876125,-2.317236145798116,0.09463602365688406,0.1583804809963834,-0.3765117526054382,0.1669242382049561,0.03585527464747429,0.01278223097324371,-0.02718684077262878,0.08207958936691284,XArbitraryCorrectedZVertical,-0.07485868036746979,0.05351189151406288,0.9108566045761108,-0.4023303985595703,0.09331212192773819,-0.1577191650867462,-0.9830653071403503,-6.944530487060547,5.851524353027344,-44.48008728027344,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-25.49744,0
2018-07-20 14:47:16.192 +0200,3,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.170822,-6.869457244873047,5.926185607910156,-44.40617370605469,45.74658203125,42.42072677612305,15,65383.89571512501,0.11090087890625,-0.14215087890625,-1.022384643554688,65383.89571512501,-0.01402234208759421,-0.08105969936317781,-0.02950516171698788,65383.870812125,-2.311144810125483,0.1086968669436257,0.1515465562463729,0.1303941905498505,0.2626978754997253,0.04051517695188522,-0.03129660338163376,0.03075841069221497,-0.06287330389022827,XArbitraryCorrectedZVertical,-0.08005542308092117,0.04731589555740356,0.909393310546875,-0.4054042994976044,0.1072395965456963,-0.1509671360254288,-0.9827046990394592,-6.869457244873047,5.926185607910156,-44.40617370605469,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-26.8847,0
2018-07-20 14:47:16.230 +0200,4,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.210768,-6.645580291748047,6.149848937988281,-43.50942993164062,45.79557037353516,42.4697151184082,15,65383.93074912501,0.1031951904296875,-0.16314697265625,-0.9930877685546875,65383.93074912501,0.07147258575500155,-0.004308462011530192,0.01265241202285745,65383.870812125,-2.311144810125483,0.1086968669436257,0.1515465562463729,0.1303941905498505,0.2626978754997253,0.04051517695188522,-0.03129660338163376,0.03075841069221497,-0.06287330389022827,XArbitraryCorrectedZVertical,-0.08005542308092117,0.04731589555740356,0.909393310546875,-0.4054042994976044,0.1072395965456963,-0.1509671360254288,-0.9827046990394592,-6.869457244873047,5.926185607910156,-44.40617370605469,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-27.27674,0
2018-07-20 14:47:16.271 +0200,5,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.25083,-6.644832611083984,5.850257873535156,-44.33488464355469,45.75605773925781,42.43020629882812,15,65383.965783125,0.09320068359375,-0.144622802734375,-0.9850616455078125,65383.965783125,0.08465976052474691,0.06715373741522006,0.03462002890659407,65383.93074912501,-2.312106111676085,0.1081171029290228,0.1537731993413625,0.05896682292222977,-0.03490272536873817,0.004493541084229946,0.005183100700378418,-0.007537677884101868,-0.01308387517929077,XArbitraryCorrectedZVertical,-0.08021145313978195,0.04848809167742729,0.9095094799995422,-0.4049741625785828,0.1066333055496216,-0.1531678885221481,-0.9824300408363342,-6.944164276123047,6.076469421386719,-44.32975769042969,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-26.37432,0
2018-07-20 14:47:16.291 +0200,6,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.25083,-6.644832611083984,5.850257873535156,-44.33488464355469,45.75605773925781,42.43020629882812,15,65384.00051212501,0.107635498046875,-0.14556884765625,-1.035903930664062,65384.00051212501,0.01573661888127822,-0.02666729725939944,-0.02317216464477945,65383.93074912501,-2.312106111676085,0.1081171029290228,0.1537731993413625,0.05896682292222977,-0.03490272536873817,0.004493541084229946,0.005183100700378418,-0.007537677884101868,-0.01308387517929077,XArbitraryCorrectedZVertical,-0.08021145313978195,0.04848809167742729,0.9095094799995422,-0.4049741625785828,0.1066333055496216,-0.1531678885221481,-0.9824300408363342,-6.944164276123047,6.076469421386719,-44.32975769042969,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-26.94172,0
2018-07-20 14:47:16.330 +0200,7,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.292264,-6.195186614990234,5.923316955566406,-44.04197692871094,45.719482421875,42.39362716674805,15,65384.03552625,0.1204833984375,-0.1670379638671875,-0.999664306640625,65384.03552625,0.01034664715106685,-0.1568442092391266,0.02012657362216484,65383.99068512501,-2.310597949842375,0.1116569972532948,0.1590642613142527,0.01929641515016556,0.02380053140223026,0.001448276918381453,-0.01951861381530762,0.01987506449222565,-0.01976454257965088,XArbitraryCorrectedZVertical,-0.08290949463844299,0.05012345686554909,0.9088121652603149,-0.4057963192462921,0.1100184842944145,-0.1583943516016006,-0.9812273383140564,-6.195186614990234,5.923316955566406,-44.04197692871094,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-27.6642,0
2018-07-20 14:47:16.370 +0200,8,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.330772,-6.945430755615234,5.701423645019531,-44.25529479980469,45.72486114501953,42.39900970458984,15,65384.07056025,0.0858001708984375,-0.1483001708984375,-0.9657440185546875,65384.07056025,0.02086639977298885,-0.09070566883144481,0.0238257043762849,65384.05060225,-2.31049525462201,0.1068603257350746,0.160759942977385,-0.001827048137784004,-0.1597116738557816,0.03558768704533577,0.01216508448123932,-0.005764126777648926,-0.01461845636367798,XArbitraryCorrectedZVertical,-0.08106961101293564,0.05186596140265465,0.9089075326919556,-0.4057357013225555,0.1052818149328232,-0.1600683927536011,-0.981475293636322,-6.946178436279297,5.701240539550781,-43.88027954101562,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-27.81148,0
2018-07-20 14:47:16.410 +0200,9,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.370708,-6.870800018310547,5.476188659667969,-44.40682983398438,45.64878845214844,42.32293319702148,15,65384.10559525,0.0961456298828125,-0.158538818359375,-0.9610595703125,65384.10559525,0.07228245304249466,0.1109291815172885,-0.02012470940940178,65384.05060225,-2.31049525462201,0.1068603257350746,0.160759942977385,-0.001827048137784004,-0.1597116738557816,0.03558768704533577,0.01216508448123932,-0.005764126777648926,-0.01461845636367798,XArbitraryCorrectedZVertical,-0.08106961101293564,0.05186596140265465,0.9089075326919556,-0.4057357013225555,0.1052818149328232,-0.1600683927536011,-0.981475293636322,-6.946178436279297,5.701240539550781,-43.88027954101562,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-28.60926,0
2018-07-20 14:47:16.430 +0200,10,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090835.437054,59.9291529134474,10.74718957767891,58.46027,0.54,82.96875,16,10,-9999,1532090836.410649,-6.346309661865234,5.548927307128906,-44.04011535644531,45.68180084228516,42.3559455871582,15,65384.14032425,0.100738525390625,-0.16827392578125,-1.009506225585938,65384.14032425,0.05931392379824479,0.05865612300899522,-0.01422527496265825,65384.11050825001,-2.309780310659582,0.1056809042888574,0.163609975729287,0.08503694087266922,0.1240653172135353,-0.01460588909685612,-0.01166839152574539,0.006295323371887207,0.02314853668212891,XArbitraryCorrectedZVertical,-0.08111969381570816,0.05337635055184364,0.9086742401123047,-0.4060518145561218,0.104075625538826,-0.1628810316324234,-0.9811411499977112,-6.346309661865234,5.548927307128906,-44.04011535644531,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-28.76576,0
